time,flow
06:45,249
07:00,283
07:15,354
07:30,362
07:45,391
08:00,372
08:15,417
08:30,381
08:45,396
09:00,399
09:15,353
09:30,315
09:45,324
10:00,324
10:15,289
10:30,282
10:45,304
11:00,296
11:15,305
11:30,278
11:45,287
12:00,301
12:15,275
12:30,303
12:45,311
13:00,265
13:15,294
13:30,258
13:45,277
14:00,308
14:15,273
14:30,301
14:45,305
15:00,318
15:15,342
15:30,347
15:45,302
16:00,344
16:15,359
16:30,325
16:45,271
17:00,339
17:15,342
17:30,363
17:45,353
18:00,323
18:15,304
18:30,261
18:45,207
19:00,219
19:15,181
19:30,206
19:45,188
20:00,158
20:15,159
20:30,136
20:45,133
21:00,164
21:15,147
21:30,150
21:45,131
22:00,124
22:15,111
22:30,112
22:45,103
23:00,66
23:15,50
23:30,49
23:45,36
00:00,38
00:15,35
00:30,15
00:45,20
