Route_ID,START_LAT,START_LONG,END_LAT,END_LONG,Day,Time,Time_Taken
276,-37.86703,145.09159,-37.82264,145.05734,Friday,18:0,18 mins
277,-37.86703,145.09159,-37.82264,145.05734,Saturday,7:0,12 mins
278,-37.86703,145.09159,-37.82264,145.05734,Saturday,12:0,17 mins
279,-37.86703,145.09159,-37.82264,145.05734,Saturday,18:0,16 mins
280,-37.86703,145.09159,-37.82295,145.05773,Monday,7:0,15 mins
281,-37.86703,145.09159,-37.82295,145.05773,Monday,12:0,15 mins
282,-37.86703,145.09159,-37.82295,145.05773,Monday,18:0,17 mins
283,-37.86703,145.09159,-37.82295,145.05773,Friday,7:0,14 mins
284,-37.86703,145.09159,-37.82295,145.05773,Friday,12:0,16 mins
285,-37.86703,145.09159,-37.82295,145.05773,Friday,18:0,18 mins
286,-37.86703,145.09159,-37.82295,145.05773,Saturday,7:0,12 mins
287,-37.86703,145.09159,-37.82295,145.05773,Saturday,12:0,17 mins
288,-37.86703,145.09159,-37.82295,145.05773,Saturday,18:0,16 mins
289,-37.86703,145.09159,-37.82315,145.05724,Monday,7:0,14 mins
290,-37.86703,145.09159,-37.82315,145.05724,Monday,12:0,15 mins
291,-37.86703,145.09159,-37.82315,145.05724,Monday,18:0,17 mins
292,-37.86703,145.09159,-37.82315,145.05724,Friday,7:0,14 mins
293,-37.86703,145.09159,-37.82315,145.05724,Friday,12:0,16 mins
294,-37.86703,145.09159,-37.82315,145.05724,Friday,18:0,18 mins
295,-37.86703,145.09159,-37.82315,145.05724,Saturday,7:0,12 mins
296,-37.86703,145.09159,-37.82315,145.05724,Saturday,12:0,17 mins
297,-37.86703,145.09159,-37.82315,145.05724,Saturday,18:0,16 mins
298,-37.86703,145.09159,-37.82284,145.05684,Monday,7:0,15 mins
299,-37.86703,145.09159,-37.82284,145.05684,Monday,12:0,15 mins
300,-37.86703,145.09159,-37.82284,145.05684,Monday,18:0,17 mins
301,-37.86703,145.09159,-37.82284,145.05684,Friday,7:0,14 mins
302,-37.86703,145.09159,-37.82284,145.05684,Friday,12:0,16 mins
303,-37.86703,145.09159,-37.82284,145.05684,Friday,18:0,18 mins
304,-37.86703,145.09159,-37.82284,145.05684,Saturday,7:0,12 mins
305,-37.86703,145.09159,-37.82284,145.05684,Saturday,12:0,17 mins
306,-37.86703,145.09159,-37.82284,145.05684,Saturday,18:0,16 mins
307,-37.86703,145.09159,-37.82379,145.06466,Monday,7:0,13 mins
308,-37.86703,145.09159,-37.82379,145.06466,Monday,12:0,14 mins
309,-37.86703,145.09159,-37.82379,145.06466,Monday,18:0,15 mins
310,-37.86703,145.09159,-37.82379,145.06466,Friday,7:0,13 mins
311,-37.86703,145.09159,-37.82379,145.06466,Friday,12:0,14 mins
312,-37.86703,145.09159,-37.82379,145.06466,Friday,18:0,16 mins
313,-37.86703,145.09159,-37.82379,145.06466,Saturday,7:0,11 mins
314,-37.86703,145.09159,-37.82379,145.06466,Saturday,12:0,15 mins
315,-37.86703,145.09159,-37.82379,145.06466,Saturday,18:0,14 mins
